79321,0,GPS1_FRAME,42.33746333333333,-71.087745,36.4,328010.8746310582,4689356.37081492,19,T
79322,0,GPS1_FRAME,42.33746666666666,-71.08775333333332,36.4,328010.1971872666,4689356.757811785,19,T
79323,0,GPS1_FRAME,42.33748833333334,-71.08777,36.3,328008.883194756,4689359.197441355,19,T
79324,0,GPS1_FRAME,42.337495000000004,-71.08778000000001,36.3,328008.0775329119,4689359.95795085,19,T
79325,0,GPS1_FRAME,42.3375,-71.08779,36.3,328007.2673273264,4689360.533389815,19,T
79326,0,GPS1_FRAME,42.33750833333333,-71.08780833333334,36.2,328005.77967877954,4689361.495826197,19,T
79327,0,GPS1_FRAME,42.337515,-71.08782500000001,36.1,328004.4247928163,4689362.269821031,19,T
79328,0,GPS1_FRAME,42.33752166666667,-71.08784,36.1,328003.2072133091,4689363.040444864,19,T
79329,0,GPS1_FRAME,42.33753166666667,-71.087855,36.0,328001.99872218794,4689364.181210177,19,T
79330,0,GPS1_FRAME,42.337540000000004,-71.08787000000001,36.0,328000.7856873699,4689365.136905082,19,T
79331,0,GPS1_FRAME,42.33755166666666,-71.08788333333334,35.9,327999.71904723614,4689366.459370122,19,T
79332,0,GPS1_FRAME,42.33756166666667,-71.08789666666667,35.8,327998.64786336216,4689367.596764712,19,T
79333,0,GPS1_FRAME,42.33757166666666,-71.08791166666667,35.8,327997.4393737829,4689368.737530862,19,T
79334,0,GPS1_FRAME,42.337579999999996,-71.08792666666666,35.7,327996.22634037974,4689369.693226604,19,T
79335,0,GPS1_FRAME,42.33758666666666,-71.08793999999999,35.6,327995.14606907405,4689370.460480501,19,T
79336,0,GPS1_FRAME,42.33759499999999,-71.087955,35.6,327993.9330362761,4689371.416176661,19,T
79337,0,GPS1_FRAME,42.33760666666667,-71.08797166666666,35.5,327992.5917864647,4689372.745385787,19,T
79338,0,GPS1_FRAME,42.33761333333334,-71.08798666666667,35.5,327991.3742100543,4689373.516011783,19,T
79339,0,GPS1_FRAME,42.33762,-71.08800166666667,35.4,327990.15663390653,4689374.286637997,19,T
79340,0,GPS1_FRAME,42.33763166666666,-71.088015,35.3,327989.0899972198,4689375.609104773,19,T
79341,0,GPS1_FRAME,42.33764166666666,-71.08802666666666,35.2,327988.1561223993,4689376.74312952,19,T
79342,0,GPS1_FRAME,42.33765166666667,-71.08803666666667,35.2,327987.3595537714,4689377.873782813,19,T
79343,0,GPS1_FRAME,42.337665,-71.08805166666666,35.1,327986.16015682754,4689379.384692301,19,T
79344,0,GPS1_FRAME,42.337675000000004,-71.08806333333334,34.9,327985.2262830102,4689380.518717472,19,T
79345,0,GPS1_FRAME,42.33768499999999,-71.08807666666667,34.7,327984.1551036918,4689381.656114432,19,T
79346,0,GPS1_FRAME,42.337695000000004,-71.08808833333333,34.5,327983.22123051743,4689382.790139894,19,T
79347,0,GPS1_FRAME,42.33770500000001,-71.08810166666667,34.3,327982.1500518813,4689383.927537186,19,T
79348,0,GPS1_FRAME,42.33771166666667,-71.088115,34.1,327981.0697843096,4689384.694793379,19,T
79349,0,GPS1_FRAME,42.337720000000004,-71.088125,33.9,327980.26867311925,4689385.640376912,19,T
79350,0,GPS1_FRAME,42.33773166666666,-71.088135,33.8,327979.4766515285,4689386.956101818,19,T
79351,0,GPS1_FRAME,42.33774333333334,-71.08814000000001,33.5,327979.0965473016,4689388.2617115425,19,T
79352,0,GPS1_FRAME,42.33775166666666,-71.08814666666667,33.4,327978.5700481442,4689389.200551781,19,T
79353,0,GPS1_FRAME,42.337761666666665,-71.08815666666666,33.2,327977.77348257694,4689390.3312062705,19,T
79354,0,GPS1_FRAME,42.33777,-71.08816666666667,33.0,327976.97237251187,4689391.276790221,19,T
79355,0,GPS1_FRAME,42.33778333333333,-71.08817666666667,32.8,327976.1848970213,4689392.777586186,19,T
79356,0,GPS1_FRAME,42.33779166666667,-71.08818333333333,32.6,327975.65839862835,4689393.716426677,19,T
79357,0,GPS1_FRAME,42.33780333333334,-71.08819166666667,32.4,327975.00368445885,4689395.028780328,19,T
79358,0,GPS1_FRAME,42.337815,-71.08819333333332,32.2,327974.8981926681,4689396.327646651,19,T
79359,0,GPS1_FRAME,42.33782833333333,-71.08819833333334,32.0,327974.52263476094,4689397.818327323,19,T
79360,0,GPS1_FRAME,42.33784000000001,-71.08820166666666,31.8,327974.27983766777,4689399.12056552,19,T
79361,0,GPS1_FRAME,42.337851666666666,-71.08820666666666,31.6,327973.8997352326,4689400.426175595,19,T
79362,0,GPS1_FRAME,42.33786333333334,-71.08821333333334,31.4,327973.3823275317,4689401.735157575,19,T
79363,0,GPS1_FRAME,42.33787333333333,-71.08822166666667,31.1,327972.7230697504,4689402.862440847,19,T
79364,0,GPS1_FRAME,42.33788666666666,-71.08823166666666,30.9,327971.93559664115,4689404.363237383,19,T
79365,0,GPS1_FRAME,42.337896666666666,-71.08824333333334,30.7,327971.00172866357,4689405.497264658,19,T
79366,0,GPS1_FRAME,42.33790833333334,-71.08825166666666,30.4,327970.3470166171,4689406.809618828,19,T
79367,0,GPS1_FRAME,42.337921666666674,-71.088265,30.2,327969.2849339141,4689408.317159585,19,T
79368,0,GPS1_FRAME,42.33793000000001,-71.08828333333332,30.1,327967.79730079084,4689409.279604547,19,T
79369,0,GPS1_FRAME,42.33793833333334,-71.08830333333334,29.9,327966.1723628064,4689410.24542186,19,T
79370,0,GPS1_FRAME,42.337945000000005,-71.08832333333334,29.8,327964.54288013885,4689411.026168921,19,T
